global_step,avg_MF_assisted,avg_MF_no_assist
0,0.6999323905288769,0.6999323905288769
1,0.6998707850222484,0.6998707850222484
2,0.6998057303076659,0.6998057303076659
3,0.699738591126788,0.699738591126788
4,0.6996700976151665,0.6996700976151665
5,0.6996006874249225,0.6996006874249225
6,0.6995306408830245,0.6995306408830245
7,0.6994601461951487,0.6994601461951487
8,0.6993893332329724,0.6993893332329724
9,0.6993182939565216,0.6993182939565216
10,0.6992470941504326,0.6992470941504326
11,0.6991757817260406,0.6991757817260406
12,0.6991043915790565,0.6991043915790565
13,0.6990329495402965,0.6990329495402965
14,0.6989614745815295,0.6989614745815295
15,0.698889980894105,0.698889980894105
16,0.6988184789286368,0.6988184789286368
17,0.6987469765654047,0.6987469765654047
18,0.6986754795996736,0.6986754795996736
19,0.6986039924347045,0.6986039924347045
20,0.6985325182931731,0.6985325182931731
21,0.6984610596450173,0.6984610596450173
22,0.6983896182825348,0.6983896182825348
23,0.6983181955947529,0.6983181955947529
24,0.698246792576258,0.698246792576258
25,0.6981754100095857,0.6981754100095857
26,0.6981040484439524,0.6981040484439524
27,0.6980327083206813,0.6980327083206813
28,0.697961389940393,0.697961389940393
29,0.6978900935519693,0.6978900935519693
30,0.6978188193174611,0.6978188193174611
31,0.6977475673769162,0.6977475673769162
32,0.6976763378153438,0.6976763378153438
33,0.6975723694730017,0.6976051307110294
34,0.6974680909724045,0.6975339461063234
35,0.6973627801693584,0.6974627840443
36,0.69728873289153,0.6973916445438352
37,0.6972137400271694,0.6973205276278063
38,0.6971379738691561,0.6972494333022897
39,0.6970615829861506,0.697178361578481
40,0.6969846895137136,0.6971073124555766
41,0.6969073915491343,0.697036285937939
42,0.6968297689352742,0.6969652820211484
43,0.696751887715548,0.696926591952038
44,0.6967383688394855,0.6969524809058125
45,0.6967246752473789,0.6969783649792302
46,0.696710846784772,0.697004244172373
47,0.696696917385847,0.6970301184879849
48,0.6966829158844551,0.6970559879253161
49,0.6966688666556196,0.6970818524867376
50,0.6966547901358465,0.6971077121718348
51,0.6966407032805005,0.6971335669826783
52,0.6966266199627672,0.697159416919121
53,0.6966125513492734,0.697185261982994
54,0.6965985062382832,0.6972111021743639
55,0.6965844913787885,0.6972369374948699
56,0.696570511761094,0.6972627679447493
57,0.6965565708841926,0.6972885935254887
58,0.6965426709952206,0.6973144142374604
59,0.6965288140658322,0.6973402300820303
60,0.6965150004999598,0.6973660410596784
61,0.696501229935361,0.6973918471716726
62,0.696487501470024,0.6974176484185799
63,0.6964738137807612,0.6974434448015908
64,0.6964601652248161,0.6974692363213403
65,0.6964465539312333,0.6974950229789575
66,0.6964329778681803,0.6975208047751317
67,0.6964194349012888,0.6975465817109429
68,0.6964059228384522,0.6975723537871232
69,0.6963924394727757,0.6975981210047143
70,0.6963789826051606,0.6976238833644818
71,0.6963655500692933,0.6976496408674366
72,0.6963521397496398,0.6976753935143715
73,0.6963387495930777,0.6977011413062724
74,0.6963253776150045,0.6977268842439535
75,0.6963120219108355,0.6977526223283812
76,0.6962986806492152,0.6977783555603864
77,0.6962853520823739,0.6978040839409202
78,0.6962720345435457,0.6978298074708263
79,0.696258726438511,0.6978555261510437
80,0.6962454262540727,0.6978812399824266
81,0.6961998322702722,0.6979069489659039
82,0.6961542530907753,0.6979326531023379
83,0.6961086887831242,0.6979583523926497
84,0.6960631388278009,0.6979840468377082
85,0.6960176024831896,0.698009736438428
86,0.6959720788606539,0.6980354211956831
87,0.695926566969231,0.6980611011103828
88,0.6958810657191088,0.698086776183405
89,0.6958355741359475,0.6981124464156553
90,0.695790091232584,0.6981381118080142
91,0.6957446160398769,0.6981637723613844
92,0.695699147615314,0.6981894280766484
93,0.6956536850503648,0.698215078954706
94,0.6956082274719013,0.6982407249964419
95,0.695562774046183,0.6982663662027538
96,0.6955173239773201,0.6982920025745273
97,0.6954718765104704,0.6983176341126587
98,0.6954264309293899,0.6983432608180342
99,0.6953809865575523,0.6983688826915487
100,0.6953355427580629,0.6983944997340895
101,0.6952983678403267,0.6984201119465497
102,0.6952608942890803,0.6984457193298175
103,0.6952232150771699,0.6984713218847848
104,0.6951853925177636,0.6984969196123397
105,0.6951474698499451,0.698522512513374
106,0.6951094775378296,0.6985481005887754
107,0.6950714375485276,0.6985736838394351
108,0.6950333657381601,0.698599262266241
109,0.6949952737943552,0.6986248358700835
110,0.6949571702453713,0.6986504046518505
111,0.6949190614688608,0.6986759686124314
112,0.6948809521313662,0.6987015277527147
113,0.6948428457635534,0.6987270820735891
114,0.6948047449404887,0.6987526315759425
115,0.6947666516338824,0.6987781762606634
116,0.6947285672689403,0.6988037161286397
117,0.6946904929532501,0.6988292511807592
118,0.694652429474785,0.6988547814179095
119,0.6946143774586008,0.6988803068409785
120,0.694576337338192,0.6989058274508531
121,0.694538309467822,0.6989313432484207
122,0.6945322042701397,0.698956854234568
123,0.6945261027074454,0.6989823604101825
124,0.6945200049094659,0.6990078617761503
125,0.6945139109936146,0.6990333583333582
126,0.694507821027435,0.6990588500826925
127,0.69450173507949,0.6990843370250394
128,0.6944956531838896,0.6991098191612849
129,0.6944571562842824,0.6991352964923149
130,0.6944490253269331,0.699160769019015
131,0.6944391179735255,0.6991862367422711
132,0.6944277899179078,0.6992116996629684
133,0.6944154248272119,0.6992371577819917
134,0.694402373379634,0.6992626111002268
135,0.6943889989265709,0.6992880596185581
136,0.6943757787288339,0.6993135033378705
137,0.6943634377264477,0.6993389422590485
138,0.6943530331512463,0.6993643763829764
139,0.6943127264456818,0.6993898057105388
140,0.694273656578309,0.6994152302426193
141,0.6942331661020655,0.6994406499801024
142,0.694158236039772,0.6994660649238714
143,0.6940813301914934,0.6994914750748099
144,0.6940027606057418,0.6995168804338016
145,0.6939241060651339,0.6995422810017295
146,0.69384742502129,0.699567676779477
147,0.6937706510369216,0.6995930677679265
148,0.693660888164174,0.6996184539679614
149,0.6935829027824973,0.699643835380464
150,0.6935046141537479,0.6996692120063169
151,0.6933942494016988,0.6996945838464023
152,0.6933164013593253,0.6997199509016022
153,0.6932709686886797,0.6997453131727985
154,0.6932252323910714,0.6997706706608735
155,0.693179247529638,0.6997960233667085
156,0.6931001391009773,0.6998213712911849
157,0.692955658114145,0.699846714435184
158,0.692842988833919,0.6998720527995873
159,0.6927304649535917,0.6998973863852754
160,0.6926182554680929,0.6999227151931295
161,0.6925384035988363,0.6999480392240299
162,0.692458715448874,0.6999733584788572
163,0.6923790002953191,0.6999986729584919
164,0.6922992642702815,0.700023982663814
165,0.6921876490250055,0.7000492875957036
166,0.6920760332569582,0.7000745877550406
167,0.692030072624002,0.7000998831427045
168,0.6919840971497585,0.7001251737595751
169,0.6919381115662547,0.7001504596065317
170,0.6918921136855856,0.7001757406844532
171,0.6918133031057794,0.7002010169942191
172,0.6916694622265019,0.700226288536708
173,0.6915574920790055,0.7002515553127985
174,0.6914455800685286,0.7002768173233695
175,0.6913657899466586,0.7003020745692993
176,0.6912860426983974,0.7003273270514659
177,0.69120632806584,0.7003525747707476
178,0.6911266344312704,0.7003778177280223
179,0.6910469619914213,0.7004030559241677
180,0.6909354957708653,0.7004282893600614
181,0.6908240577214096,0.7004535180365807
182,0.690778121831554,0.7004787419546031
183,0.6907321971825539,0.7005039611150057
184,0.6906862842065351,0.700529175518665
185,0.6906403828507365,0.7005543851664582
186,0.6905287231630667,0.7005795900592618
187,0.6904170968720217,0.7006047901979523
188,0.6903375056477437,0.7006299855834062
189,0.6902579402969414,0.700655176216499
190,0.6901784020797832,0.7006803620981072
191,0.6900988896030521,0.7007055432291066
192,0.6900194021555176,0.7007307196103726
193,0.6899399393612221,0.7007558912427809
194,0.6898605014784103,0.7007810581272067
195,0.6898131123236676,0.7008062202645252
196,0.6897983512108179,0.7008313776556112
197,0.6897835966909823,0.70085653030134
198,0.689768848899377,0.7008816782025858
199,0.6897541078629206,0.7009068213602235
200,0.6896760920553214,0.7009319597751272
201,0.6896160650646387,0.7009570934481713
202,0.6895527010013454,0.7009822223802297
203,0.6894874573696893,0.7010073465721763
204,0.6894210366056891,0.7010324660248849
205,0.6893538369800333,0.7010575807392289
206,0.689286105023836,0.7010826907160816
207,0.689218002663198,0.7011077959563167
208,0.6891496398963902,0.7011328964608067
209,0.6890810938447788,0.7011579922304249
210,0.689012419202061,0.7011830832660438
211,0.6889436556412233,0.7012081695685363
212,0.6888748318851574,0.7012332511387744
213,0.6888059691877214,0.7012583279776307
214,0.688737083071631,0.7012834000859773
215,0.6886681851808257,0.7013084674646861
216,0.6885992840302467,0.7013335301146286
217,0.6885303860821105,0.7013585880366767
218,0.6884614960404386,0.7013836412317019
219,0.6883926175207703,0.7014086897005755
220,0.6883237531272788,0.7014337334441684
221,0.6882549048945554,0.7014587724633516
222,0.6881860742617542,0.7014838067589962
223,0.6881172623795764,0.7015088363319729
224,0.6880484700387964,0.7015338611831519
225,0.6879796978936487,0.7015588813134036
